Episode: 1: [ 0.27053535  0.03697454 -0.01454803 -0.45932928 -0.92235583 -0.9747702
 -0.55486745 -0.24295755  0.4271715 ] 
Episode: 1301: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1311: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1321: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1331: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1341: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1351: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1361: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1371: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1381: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1391: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1401: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1411: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1421: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1431: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1441: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1451: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1461: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1471: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1481: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1491: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1501: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1511: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1521: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1531: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1541: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1551: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1561: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1571: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1581: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1591: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1601: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1611: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1621: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1631: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1641: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1651: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1661: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1671: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1681: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1691: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1701: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1711: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1721: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1731: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1741: [ 0.2683638   0.03949392 -0.01218031 -0.4614752  -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1751: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1761: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
