Episode: 3081: [-0.00646288 -0.15880974  0.06698137] 
Episode: 3091: [-0.00510886 -0.15927705  0.06631275] 
Episode: 3101: [-0.00333961 -0.16123536  0.06644239] 
Episode: 3111: [-0.00196208 -0.1624069   0.06628489] 
Episode: 3121: [-0.00031503 -0.16255435  0.06516587] 
Episode: 3131: [ 0.00148997 -0.1615856   0.06309439] 
Episode: 3141: [ 0.00393395 -0.1608237   0.06069874] 
Episode: 3151: [ 0.00512066 -0.15909162  0.05851934] 
Episode: 3161: [ 0.00751866 -0.16055855  0.05781206] 
Episode: 3171: [ 0.0094683  -0.15940021  0.05547125] 
Episode: 3181: [ 0.01162267 -0.1591376   0.05365721] 
Episode: 3191: [ 0.01338586 -0.15964974  0.0527272 ] 
Episode: 3201: [ 0.01414902 -0.16153736  0.05359025] 
Episode: 3211: [ 0.01626897 -0.16307408  0.05317445] 
Episode: 3221: [ 0.01762649 -0.16433468  0.05313439] 
Episode: 3231: [ 0.0187437  -0.16267565  0.05102188] 
Episode: 3241: [ 0.01944581 -0.15911248  0.04773853] 
Episode: 3251: [ 0.01990006 -0.15714432  0.04587096] 
Episode: 3261: [ 0.02145869 -0.15835682  0.04565778] 
Episode: 3271: [ 0.02301404 -0.15870766  0.04477574] 
Episode: 3281: [ 0.02169176 -0.15759288  0.04488949] 
Episode: 3291: [ 0.02076451 -0.15913284  0.04679522] 
Episode: 3301: [ 0.02022965 -0.15991627  0.0478161 ] 
Episode: 3311: [ 0.0209828  -0.16062199  0.04781134] 
Episode: 3321: [ 0.02211058 -0.16090006  0.04718898] 
Episode: 3331: [ 0.0231579  -0.16032949  0.04595564] 
Episode: 3341: [ 0.02528998 -0.15967147  0.04384099] 
Episode: 3351: [ 0.02690942 -0.1575411   0.04092788] 
Episode: 3361: [ 0.02946475 -0.15562989  0.03749729] 
Episode: 3371: [ 0.02926226 -0.15423116  0.03653235] 
Episode: 3381: [ 0.0302992  -0.15482272  0.03623585] 
Episode: 3391: [ 0.03119352 -0.1549371   0.03566392] 
Episode: 3401: [ 0.03225098 -0.15281066  0.03317324] 
Episode: 3411: [ 0.03469665 -0.15364769  0.03203035] 
Episode: 3421: [ 0.03805412 -0.15423974  0.03002083] 
Episode: 3431: [ 0.03928779 -0.1565947   0.03100312] 
Episode: 3441: [ 0.04131934 -0.15741056  0.03016822] 
Episode: 3451: [ 0.04397217 -0.1564086   0.0274197 ] 
Episode: 3461: [ 0.04731024 -0.15420939  0.0232227 ] 
Episode: 3471: [ 0.05105453 -0.15257813  0.01918814] 
Episode: 3481: [ 0.05336459 -0.15334459  0.01813723] 
Episode: 3491: [ 0.05616517 -0.1551131   0.01755682] 
Episode: 3501: [ 0.05829249 -0.15729682  0.01780717] 
Episode: 3511: [ 0.05829322 -0.15846372  0.0187608 ] 
Episode: 3521: [ 0.0594855  -0.1569015   0.01662456] 
Episode: 3531: [ 0.06143718 -0.15483783  0.01353493] 
Episode: 3541: [ 0.06104209 -0.15307902  0.01237959] 
Episode: 3551: [ 0.06247815 -0.154012    0.01210852] 
Episode: 3561: [ 0.06422257 -0.15603991  0.01252332] 
Episode: 3571: [ 0.06668074 -0.15735796  0.01185894] 
Episode: 3581: [ 0.06610719 -0.15557761  0.01079632] 
Episode: 3591: [ 0.06538913 -0.15506881  0.01088771] 
Episode: 3601: [ 0.06778517 -0.15460059  0.00878207] 
Episode: 3611: [ 0.07048556 -0.15449144  0.00676248] 
Episode: 3621: [ 0.07336964 -0.15368558  0.00403743] 
Episode: 3631: [ 0.07501293 -0.15510207  0.00405752] 
Episode: 3641: [ 0.07669001 -0.15673198  0.00423414] 
Episode: 3651: [ 0.07851965 -0.15681165  0.00300919] 
Episode: 3661: [ 0.08092986 -0.15725619  0.00168349] 
Episode: 3671: [ 0.08175555 -0.157906    0.0016471 ] 
Episode: 3681: [ 0.08401202 -0.15964031  0.00151504] 
Episode: 3691: [ 0.08744397 -0.16134365  0.00054865] 
Episode: 3701: [ 0.08990486 -0.15841295 -0.00362888] 
Episode: 3711: [ 0.09197522 -0.1561195  -0.00699443] 
Episode: 3721: [ 0.09310848 -0.15521055 -0.00854339] 
Episode: 3731: [ 0.09523017 -0.15309979 -0.01179291] 
Episode: 3741: [ 0.09715505 -0.15170918 -0.0142923 ] 
Episode: 3751: [ 0.09944011 -0.1493409  -0.01781827] 
Episode: 3761: [ 0.10194403 -0.15042168 -0.01855359] 
Episode: 3771: [ 0.10247115 -0.15477742 -0.0151795 ] 
Episode: 3781: [ 0.10386093 -0.15774886 -0.01354667] 
Episode: 3791: [ 0.10707548 -0.15989502 -0.01382718] 
Episode: 3801: [ 0.10887379 -0.159932   -0.01498828] 
Episode: 3811: [ 0.10753434 -0.15840483 -0.01542649] 
Episode: 3821: [ 0.10710523 -0.15770172 -0.01575162] 
Episode: 3831: [ 0.10634064 -0.15660043 -0.01619403] 
Episode: 3841: [ 0.10523785 -0.15658878 -0.01546071] 
Episode: 3851: [ 0.10362413 -0.15430614 -0.0163722 ] 
Episode: 3861: [ 0.10342681 -0.15505786 -0.01557771] 
Episode: 3871: [ 0.10310374 -0.15645674 -0.01413153] 
Episode: 3881: [ 0.10144733 -0.15978643 -0.01009777] 
Episode: 3891: [ 0.10286668 -0.16211843 -0.00900458] 
Episode: 3901: [ 0.10272101 -0.16257074 -0.00850969] 
Episode: 3911: [ 0.10263807 -0.1625726  -0.00845233] 
Episode: 3921: [ 0.10303139 -0.16460681 -0.00693074] 
Episode: 3931: [ 0.103954   -0.16433585 -0.00778633] 
Episode: 3941: [ 0.1066865  -0.16276214 -0.0109876 ] 
Episode: 3951: [ 0.10781394 -0.16310477 -0.01143851] 
Episode: 3961: [ 0.11014567 -0.16344096 -0.01267752] 
Episode: 3971: [ 0.11104693 -0.16204225 -0.01449126] 
Episode: 3981: [ 0.11063061 -0.16176182 -0.01446259] 
Episode: 3991: [ 0.11198665 -0.1609332  -0.01608117] 
Episode: 4001: [ 0.11331809 -0.16227268 -0.01578389] 
Episode: 4011: [ 0.11385974 -0.1637315  -0.01486033] 
Episode: 4021: [ 0.11678196 -0.16502064 -0.01563524] 
Episode: 4031: [ 0.11845    -0.16811077 -0.01400954] 
Episode: 4041: [ 0.11941356 -0.16764009 -0.01504385] 
Episode: 4051: [ 0.11944859 -0.16831459 -0.01447552] 
Episode: 4061: [ 0.12040185 -0.16907726 -0.01441482] 
Episode: 4071: [ 0.12227768 -0.16800371 -0.01654932] 
Episode: 4081: [ 0.12621512 -0.17022134 -0.01711634] 
Episode: 4091: [ 0.12788263 -0.17119697 -0.0173207 ] 
Episode: 4101: [ 0.12659627 -0.16882475 -0.01858469] 
Episode: 4111: [ 0.12642886 -0.16765434 -0.01951288] 
Episode: 4121: [ 0.12762006 -0.16643846 -0.02136154] 
Episode: 4131: [ 0.12978189 -0.1643635  -0.02459705] 
Episode: 4141: [ 0.13181837 -0.16507109 -0.02528333] 
Episode: 4151: [ 0.13372748 -0.1655475  -0.02609185] 
Episode: 4161: [ 0.13671812 -0.16640913 -0.02724999] 
Episode: 4171: [ 0.13863252 -0.16690849 -0.02803433] 
Episode: 4181: [ 0.14011207 -0.16459988 -0.03102542] 
Episode: 4191: [ 0.14166723 -0.16180831 -0.03448676] 
Episode: 4201: [ 0.14376779 -0.16237871 -0.03531436] 
Episode: 4211: [ 0.14604993 -0.16488677 -0.03454326] 
Episode: 4221: [ 0.14647402 -0.1665786  -0.03331539] 
Episode: 4231: [ 0.1486256  -0.1675815  -0.03379464] 
Episode: 4241: [ 0.1491548  -0.16959488 -0.0323584 ] 
Episode: 4251: [ 0.1499097  -0.1717195  -0.03096616] 
Episode: 4261: [ 0.14915657 -0.17407724 -0.02840995] 
Episode: 4271: [ 0.14802971 -0.17562605 -0.02633311] 
Episode: 4281: [ 0.14899695 -0.17548212 -0.02706608] 
Episode: 4291: [ 0.14949533 -0.17563505 -0.02724316] 
Episode: 4301: [ 0.1505278  -0.17721312 -0.02649106] 
Episode: 4311: [ 0.15155357 -0.17839216 -0.02608702] 
Episode: 4321: [ 0.15407476 -0.17852706 -0.02754574] 
Episode: 4331: [ 0.15723836 -0.17936705 -0.02877132] 
Episode: 4341: [ 0.16056491 -0.17999294 -0.03028748] 
Episode: 4351: [ 0.16191478 -0.17988965 -0.03121978] 
Episode: 4361: [ 0.16213657 -0.1805987  -0.03072836] 
Episode: 4371: [ 0.16263369 -0.18067952 -0.03098832] 
Episode: 4381: [ 0.16329792 -0.17951415 -0.03244219] 
Episode: 4391: [ 0.16423637 -0.17937036 -0.03314152] 
Episode: 4401: [ 0.1646623  -0.18028879 -0.03256512] 
Episode: 4411: [ 0.16547437 -0.18142974 -0.03202076] 
Episode: 4421: [ 0.16561079 -0.18121314 -0.03230015] 
Episode: 4431: [ 0.16803882 -0.182516   -0.03258605] 
