Episode: 2561: [ 1.2301093e-04 -5.4666962e-05 -2.3180491e-04 -6.6251226e-04
  2.0181415e-04] 
Episode: 2571: [ 1.0809148e-04 -7.6840886e-05 -2.5784390e-04 -6.9340668e-04
  2.2520433e-04] 
Episode: 2581: [ 8.6230182e-05 -1.1210900e-04 -3.0152532e-04 -7.4659300e-04
  2.6347188e-04] 
Episode: 2591: [ 8.2822786e-05 -1.1887629e-04 -3.1064032e-04 -7.5958524e-04
  2.7146790e-04] 
Episode: 2601: [ 5.4023927e-05 -1.4672994e-04 -3.3819015e-04 -7.8751182e-04
  2.9950394e-04] 
Episode: 2611: [ 8.2281884e-05 -1.2240767e-04 -3.1591917e-04 -7.6716155e-04
  2.7564753e-04] 
Episode: 2621: [ 8.0352722e-05 -1.3058678e-04 -3.2750555e-04 -7.8191876e-04
  2.8466905e-04] 
Episode: 2631: [ 7.2584487e-05 -1.3810403e-04 -3.3520680e-04 -7.8921783e-04
  2.9224396e-04] 
Episode: 2641: [ 4.9533621e-05 -1.5331493e-04 -3.4503054e-04 -7.9250761e-04
  3.0523693e-04] 
Episode: 2651: [ 2.8502003e-05 -1.7386218e-04 -3.6484029e-04 -8.1093051e-04
  3.2521205e-04] 
Episode: 2661: [ 6.7612714e-06 -1.9861075e-04 -3.9216629e-04 -8.4021315e-04
  3.5093015e-04] 
Episode: 2671: [-4.0318588e-05 -2.4139548e-04 -4.3445290e-04 -8.8232569e-04
  3.9452343e-04] 
Episode: 2681: [-7.0891670e-05 -2.6245002e-04 -4.5136001e-04 -8.9661975e-04
  4.1533940e-04] 
Episode: 2691: [-0.00017129 -0.00036123 -0.00054902 -0.00099343  0.00051378] 
Episode: 2701: [-0.0002068  -0.00040141 -0.00059234 -0.00103973  0.00055503] 
Episode: 2711: [-0.00023781 -0.00043018 -0.00062066 -0.00106792  0.00058411] 
Episode: 2721: [-0.00021778 -0.00041237 -0.00060552 -0.00105602  0.00056783] 
Episode: 2731: [-0.00018801 -0.00039285 -0.0005936  -0.00105116  0.00055113] 
Episode: 2741: [-0.0002028  -0.00040633 -0.00060628 -0.00106234  0.00056419] 
Episode: 2751: [-0.00019179 -0.00038706 -0.00058161 -0.00103252  0.00054313] 
Episode: 2761: [-0.00022135 -0.00041283 -0.00060557 -0.00105444  0.00056849] 
Episode: 2771: [-0.00025259 -0.00044893 -0.00064406 -0.00109495  0.00060501] 
Episode: 2781: [-0.00030854 -0.00051387 -0.0007134  -0.00116769  0.00067064] 
Episode: 2791: [-0.0003664  -0.00058118 -0.00078406 -0.00123904  0.00073735] 
Episode: 2801: [-0.00038576 -0.00060872 -0.00081437 -0.0012707   0.00076449] 
Episode: 2811: [-0.00042152 -0.00064976 -0.00085743 -0.00131584  0.00080568] 
Episode: 2821: [-0.00044994 -0.00067454 -0.00087797 -0.0013319   0.00082822] 
Episode: 2831: [-0.00046703 -0.00069101 -0.00089189 -0.00134279  0.00084287] 
Episode: 2841: [-0.00049228 -0.00071884 -0.00091984 -0.00136911  0.00086971] 
Episode: 2851: [-0.0004867  -0.00070943 -0.00090895 -0.00135619  0.00086006] 
