Train Episode: 168	Loss: 0.459162	Accuracy: 0.840	MetaParam_1: 0.016006	MetaParam_2: -0.054282	MetaParam_3: 0.009196
Train Episode: 169	Loss: 0.693950	Accuracy: 0.820	MetaParam_1: 0.015953	MetaParam_2: -0.054514	MetaParam_3: 0.009533
Train Episode: 170	Loss: 1.232717	Accuracy: 0.540	MetaParam_1: 0.015916	MetaParam_2: -0.054753	MetaParam_3: 0.009834
Train Episode: 171	Loss: 1.342765	Accuracy: 0.560	MetaParam_1: 0.015812	MetaParam_2: -0.054869	MetaParam_3: 0.010085
Train Episode: 172	Loss: 2.481008	Accuracy: 0.480	MetaParam_1: 0.015682	MetaParam_2: -0.054892	MetaParam_3: 0.010683
Train Episode: 173	Loss: 1.327564	Accuracy: 0.520	MetaParam_1: 0.015482	MetaParam_2: -0.054724	MetaParam_3: 0.010929
Train Episode: 174	Loss: 0.665658	Accuracy: 0.740	MetaParam_1: 0.015326	MetaParam_2: -0.054551	MetaParam_3: 0.011072
Train Episode: 175	Loss: 1.191218	Accuracy: 0.560	MetaParam_1: 0.015191	MetaParam_2: -0.054439	MetaParam_3: 0.011194
Train Episode: 176	Loss: 0.959363	Accuracy: 0.660	MetaParam_1: 0.015167	MetaParam_2: -0.054436	MetaParam_3: 0.011343
Train Episode: 177	Loss: 1.200692	Accuracy: 0.600	MetaParam_1: 0.015195	MetaParam_2: -0.054497	MetaParam_3: 0.011006
Train Episode: 178	Loss: 0.719951	Accuracy: 0.800	MetaParam_1: 0.015186	MetaParam_2: -0.054510	MetaParam_3: 0.010654
Train Episode: 179	Loss: 1.156551	Accuracy: 0.600	MetaParam_1: 0.015114	MetaParam_2: -0.054458	MetaParam_3: 0.010276
Train Episode: 180	Loss: 0.814612	Accuracy: 0.760	MetaParam_1: 0.015046	MetaParam_2: -0.054381	MetaParam_3: 0.009889
Train Episode: 181	Loss: 0.829032	Accuracy: 0.680	MetaParam_1: 0.014928	MetaParam_2: -0.054308	MetaParam_3: 0.009548
Train Episode: 182	Loss: 0.661773	Accuracy: 0.720	MetaParam_1: 0.014843	MetaParam_2: -0.054324	MetaParam_3: 0.009227
Train Episode: 183	Loss: 0.567623	Accuracy: 0.820	MetaParam_1: 0.014744	MetaParam_2: -0.054341	MetaParam_3: 0.008942
Train Episode: 184	Loss: 0.767007	Accuracy: 0.660	MetaParam_1: 0.014687	MetaParam_2: -0.054432	MetaParam_3: 0.008704
Train Episode: 185	Loss: 0.595211	Accuracy: 0.720	MetaParam_1: 0.014590	MetaParam_2: -0.054538	MetaParam_3: 0.008549
Train Episode: 186	Loss: 0.669693	Accuracy: 0.720	MetaParam_1: 0.014543	MetaParam_2: -0.054667	MetaParam_3: 0.008411
Train Episode: 187	Loss: 0.998241	Accuracy: 0.640	MetaParam_1: 0.014700	MetaParam_2: -0.054957	MetaParam_3: 0.008196
Train Episode: 188	Loss: 0.746570	Accuracy: 0.720	MetaParam_1: 0.014804	MetaParam_2: -0.055214	MetaParam_3: 0.007978
Train Episode: 189	Loss: 0.716207	Accuracy: 0.780	MetaParam_1: 0.014925	MetaParam_2: -0.055516	MetaParam_3: 0.007823
Train Episode: 190	Loss: 0.997601	Accuracy: 0.600	MetaParam_1: 0.015022	MetaParam_2: -0.055799	MetaParam_3: 0.007713
Train Episode: 191	Loss: 1.091969	Accuracy: 0.700	MetaParam_1: 0.015146	MetaParam_2: -0.056160	MetaParam_3: 0.007629
Train Episode: 192	Loss: 1.218576	Accuracy: 0.520	MetaParam_1: 0.015271	MetaParam_2: -0.056550	MetaParam_3: 0.007587
Train Episode: 193	Loss: 0.863049	Accuracy: 0.660	MetaParam_1: 0.015367	MetaParam_2: -0.056861	MetaParam_3: 0.007572
Train Episode: 194	Loss: 0.475602	Accuracy: 0.760	MetaParam_1: 0.015463	MetaParam_2: -0.057214	MetaParam_3: 0.007574
