Train Episode: 29	Loss: 4.523703	Accuracy: 0.000	Current Training Data: 8	Number of Tasks: 1	Loss 2: 2.068044	Accuracy 2: 0.200	Current Training Data Per Class 2: 26 	Number of Tasks 2: 1	 Total loss: 3.295874	 Total Accuracy: 0.100
Train Episode: 30	Loss: 4.168396	Accuracy: 0.000	Current Training Data: 6	Number of Tasks: 1	Loss 2: 2.374678	Accuracy 2: 0.200	Current Training Data Per Class 2: 23 	Number of Tasks 2: 1	 Total loss: 3.271537	 Total Accuracy: 0.100
Train Episode: 31	Loss: 4.349657	Accuracy: 0.000	Current Training Data: 28	Number of Tasks: 1	Loss 2: 2.139216	Accuracy 2: 0.200	Current Training Data Per Class 2: 38 	Number of Tasks 2: 1	 Total loss: 3.244437	 Total Accuracy: 0.100
Train Episode: 32	Loss: 2.387709	Accuracy: 0.200	Current Training Data: 29	Number of Tasks: 1	Loss 2: 4.511140	Accuracy 2: 0.000	Current Training Data Per Class 2: 16 	Number of Tasks 2: 1	 Total loss: 3.449424	 Total Accuracy: 0.100
Train Episode: 33	Loss: 3.314168	Accuracy: 0.140	Current Training Data: 26	Number of Tasks: 1	Loss 2: 3.303513	Accuracy 2: 0.260	Current Training Data Per Class 2: 11 	Number of Tasks 2: 1	 Total loss: 3.308840	 Total Accuracy: 0.200
Train Episode: 34	Loss: 2.960210	Accuracy: 0.300	Current Training Data: 27	Number of Tasks: 1	Loss 2: 3.647688	Accuracy 2: 0.000	Current Training Data Per Class 2: 16 	Number of Tasks 2: 1	 Total loss: 3.303949	 Total Accuracy: 0.150
Train Episode: 35	Loss: 3.674845	Accuracy: 0.000	Current Training Data: 36	Number of Tasks: 1	Loss 2: 2.405514	Accuracy 2: 0.200	Current Training Data Per Class 2: 29 	Number of Tasks 2: 1	 Total loss: 3.040179	 Total Accuracy: 0.100
Train Episode: 36	Loss: 4.522739	Accuracy: 0.000	Current Training Data: 9	Number of Tasks: 1	Loss 2: 2.404418	Accuracy 2: 0.200	Current Training Data Per Class 2: 22 	Number of Tasks 2: 1	 Total loss: 3.463579	 Total Accuracy: 0.100
Train Episode: 37	Loss: 2.213490	Accuracy: 0.210	Current Training Data: 33	Number of Tasks: 1	Loss 2: 4.352799	Accuracy 2: 0.000	Current Training Data Per Class 2: 31 	Number of Tasks 2: 1	 Total loss: 3.283144	 Total Accuracy: 0.105
Train Episode: 38	Loss: 2.003205	Accuracy: 0.210	Current Training Data: 38	Number of Tasks: 1	Loss 2: 4.580220	Accuracy 2: 0.000	Current Training Data Per Class 2: 28 	Number of Tasks 2: 1	 Total loss: 3.291713	 Total Accuracy: 0.105
Train Episode: 39	Loss: 2.312724	Accuracy: 0.330	Current Training Data: 33	Number of Tasks: 1	Loss 2: 4.145903	Accuracy 2: 0.000	Current Training Data Per Class 2: 26 	Number of Tasks 2: 1	 Total loss: 3.229313	 Total Accuracy: 0.165
